id,category,variant,text,source_file,source_symbol,fixed,required,zh_filename,taigi_filename,notes
triage_symptom_01,A_core_symptom,01,"請描述目前最主要的不舒服症狀。",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=symptom].variants",TRUE,REQUIRED,triage_symptom_01_zh.m4a,triage_symptom_01_taigi.m4a,RUNTIME_REACHABLE
triage_symptom_02,A_core_symptom,02,"想先了解一下，你現在最主要是哪裡不舒服？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=symptom].variants",TRUE,REQUIRED,triage_symptom_02_zh.m4a,triage_symptom_02_taigi.m4a,RUNTIME_REACHABLE
triage_symptom_03,A_core_symptom,03,"請問目前最困擾你的症狀是什麼？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=symptom].variants",TRUE,REQUIRED,triage_symptom_03_zh.m4a,triage_symptom_03_taigi.m4a,RUNTIME_REACHABLE
triage_symptom_04,A_core_symptom,04,"方便說明一下，你這次最想處理的不舒服嗎？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=symptom].variants",TRUE,REQUIRED,triage_symptom_04_zh.m4a,triage_symptom_04_taigi.m4a,RUNTIME_REACHABLE
triage_symptom_05,A_core_symptom,05,"請告訴我，目前最主要的身體不適是什麼？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=symptom].variants",TRUE,REQUIRED,triage_symptom_05_zh.m4a,triage_symptom_05_taigi.m4a,RUNTIME_REACHABLE
triage_emergency_symptoms_01,A_core_emergency_symptoms,01,"請問是否有突發胸痛、嚴重呼吸困難、意識不清、大量出血、半邊無力或劇烈頭痛等急迫症狀？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=emergency_symptoms].variants",TRUE,REQUIRED,triage_emergency_symptoms_01_zh.m4a,triage_emergency_symptoms_01_taigi.m4a,"RUNTIME_REACHABLE; safety critical"
triage_emergency_symptoms_02,A_core_emergency_symptoms,02,"想確認安全狀況：目前是否有突發胸痛、嚴重呼吸困難、意識不清、大量出血、半邊無力或劇烈頭痛？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=emergency_symptoms].variants",TRUE,REQUIRED,triage_emergency_symptoms_02_zh.m4a,triage_emergency_symptoms_02_taigi.m4a,"RUNTIME_REACHABLE; safety critical"
triage_emergency_symptoms_03,A_core_emergency_symptoms,03,"請確認一下，你現在有沒有突發胸痛、嚴重呼吸困難、意識不清、大量出血、半邊無力或劇烈頭痛？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=emergency_symptoms].variants",TRUE,REQUIRED,triage_emergency_symptoms_03_zh.m4a,triage_emergency_symptoms_03_taigi.m4a,"RUNTIME_REACHABLE; safety critical"
triage_emergency_symptoms_04,A_core_emergency_symptoms,04,"為了確認是否需要立即處理，請問有無突發胸痛、嚴重呼吸困難、意識不清、大量出血、半邊無力或劇烈頭痛？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=emergency_symptoms].variants",TRUE,REQUIRED,triage_emergency_symptoms_04_zh.m4a,triage_emergency_symptoms_04_taigi.m4a,"RUNTIME_REACHABLE; safety critical"
triage_emergency_symptoms_05,A_core_emergency_symptoms,05,"接著確認急迫症狀：你是否出現突發胸痛、嚴重呼吸困難、意識不清、大量出血、半邊無力或劇烈頭痛？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=emergency_symptoms].variants",TRUE,REQUIRED,triage_emergency_symptoms_05_zh.m4a,triage_emergency_symptoms_05_taigi.m4a,"RUNTIME_REACHABLE; safety critical"
triage_body_part_01,A_core_body_part,01,"請問症狀主要發生在哪個部位？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=body_part].variants",TRUE,REQUIRED,triage_body_part_01_zh.m4a,triage_body_part_01_taigi.m4a,RUNTIME_REACHABLE
triage_body_part_02,A_core_body_part,02,"想了解一下，這個不舒服主要在身體哪裡？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=body_part].variants",TRUE,REQUIRED,triage_body_part_02_zh.m4a,triage_body_part_02_taigi.m4a,RUNTIME_REACHABLE
triage_body_part_03,A_core_body_part,03,"請問你主要是哪個部位感到不適？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=body_part].variants",TRUE,REQUIRED,triage_body_part_03_zh.m4a,triage_body_part_03_taigi.m4a,RUNTIME_REACHABLE
triage_body_part_04,A_core_body_part,04,"方便告訴我，症狀集中在哪個位置嗎？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=body_part].variants",TRUE,REQUIRED,triage_body_part_04_zh.m4a,triage_body_part_04_taigi.m4a,RUNTIME_REACHABLE
triage_body_part_05,A_core_body_part,05,"這個症狀主要影響身體的哪個部位呢？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=body_part].variants",TRUE,REQUIRED,triage_body_part_05_zh.m4a,triage_body_part_05_taigi.m4a,RUNTIME_REACHABLE
triage_duration_01,A_core_duration,01,"請問這個症狀大約持續多久了？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=duration].variants",TRUE,REQUIRED,triage_duration_01_zh.m4a,triage_duration_01_taigi.m4a,RUNTIME_REACHABLE
triage_duration_02,A_core_duration,02,"想了解一下，這個不舒服大概持續多久了呢？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=duration].variants",TRUE,REQUIRED,triage_duration_02_zh.m4a,triage_duration_02_taigi.m4a,RUNTIME_REACHABLE
triage_duration_03,A_core_duration,03,"這個症狀大約是從什麼時候開始的？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=duration].variants",TRUE,REQUIRED,triage_duration_03_zh.m4a,triage_duration_03_taigi.m4a,RUNTIME_REACHABLE
triage_duration_04,A_core_duration,04,"方便告訴我，這個情況已經持續多久了嗎？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=duration].variants",TRUE,REQUIRED,triage_duration_04_zh.m4a,triage_duration_04_taigi.m4a,RUNTIME_REACHABLE
triage_duration_05,A_core_duration,05,"請問你大概多久以前開始出現這個症狀？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=duration].variants",TRUE,REQUIRED,triage_duration_05_zh.m4a,triage_duration_05_taigi.m4a,RUNTIME_REACHABLE
triage_severity_01,A_core_severity,01,"請問症狀程度是輕微、中等、明顯，還是很痛或影響生活？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=severity].variants",TRUE,REQUIRED,triage_severity_01_zh.m4a,triage_severity_01_taigi.m4a,RUNTIME_REACHABLE
triage_severity_02,A_core_severity,02,"想了解一下，目前不舒服的程度大約是輕微、中等還是嚴重？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=severity].variants",TRUE,REQUIRED,triage_severity_02_zh.m4a,triage_severity_02_taigi.m4a,RUNTIME_REACHABLE
triage_severity_03,A_core_severity,03,"請問這個症狀現在的嚴重程度如何？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=severity].variants",TRUE,REQUIRED,triage_severity_03_zh.m4a,triage_severity_03_taigi.m4a,RUNTIME_REACHABLE
triage_severity_04,A_core_severity,04,"這個不舒服有沒有明顯到影響你的日常生活？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=severity].variants",TRUE,REQUIRED,triage_severity_04_zh.m4a,triage_severity_04_taigi.m4a,RUNTIME_REACHABLE
triage_severity_05,A_core_severity,05,"方便描述一下，症狀目前是輕微、普通，還是相當嚴重嗎？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=severity].variants",TRUE,REQUIRED,triage_severity_05_zh.m4a,triage_severity_05_taigi.m4a,RUNTIME_REACHABLE
triage_preferred_days_01,A_core_preferred_days,01,"請問你最近哪幾天有空就醫？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=preferred_days].variants",TRUE,REQUIRED,triage_preferred_days_01_zh.m4a,triage_preferred_days_01_taigi.m4a,RUNTIME_REACHABLE
triage_preferred_days_02,A_core_preferred_days,02,"想了解一下，你近期哪些日子方便看診？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=preferred_days].variants",TRUE,REQUIRED,triage_preferred_days_02_zh.m4a,triage_preferred_days_02_taigi.m4a,RUNTIME_REACHABLE
triage_preferred_days_03,A_core_preferred_days,03,"請問最近有哪一天比較方便就醫？",backend/app/services/question_specs.py,"QUESTION_SPECS[question_id=preferred_days].variants",TRUE,REQUIRED,triage_preferred_days_03_zh.m4a,triage_preferred_days_03_taigi.m4a,RUNTIME_REACHABLE
